"Dose","Survived"
0.843168273589499,"No"
0.786856035543418,"No"
0.614714411784354,"Yes"
0.356936036003634,"Yes"
0.479110962247635,"Yes"
0.586228228447053,"Yes"
0.169106497660978,"No"
0.0508546004278017,"No"
0.788899966166516,"No"
0.0900074118598847,"No"
0.379049299626309,"Yes"
0.371339026698799,"Yes"
0.345965230978425,"Yes"
0.882380006180586,"No"
0.129001228621315,"No"
0.895365413035978,"No"
0.903309928551495,"No"
0.861467361411483,"No"
0.739891751208926,"Yes"
0.221424395661049,"No"
0.335470714373039,"Yes"
0.542281052537837,"Yes"
0.111956267589956,"No"
0.205737957560719,"No"
0.544719066307264,"Yes"
0.691486065532431,"No"
0.460018483802758,"Yes"
0.237773635139544,"No"
0.54569672585777,"Yes"
0.4679833035637,"Yes"
0.653976856169857,"Yes"
0.186850228410856,"No"
0.622066872218724,"Yes"
0.326918530329966,"Yes"
0.802191926343572,"Yes"
0.372147754712148,"Yes"
0.879499439492418,"No"
0.156690567910173,"No"
0.563269028371086,"Yes"
0.106631591374976,"No"
0.812826195630035,"Yes"
0.537756231303835,"Yes"
0.316470776010566,"Yes"
0.410655013313128,"Yes"
0.392240071235143,"Yes"
0.886522959744225,"No"
0.345799019037205,"Yes"
0.0622798296386566,"No"
0.0907351023135558,"No"
0,"No"
0.923701699066331,"No"
0.424076059420849,"Yes"
0.425994486455814,"Yes"
0.870432430967049,"No"
0.698054431284244,"No"
0.559262186462579,"Yes"
0.750438149546487,"No"
0.554147466655221,"Yes"
1,"No"
0.400517929623945,"Yes"
0.562046423038184,"Yes"
0.105841047543239,"No"
0.0377546886044495,"No"
0.94470231895098,"No"
0.350421613651359,"Yes"
0.275715932460817,"No"
0.318760000140387,"No"
0.254193898621031,"Yes"
0.297237966300602,"Yes"
